sample_idx,sensor_idx,distance_cm,x_cm,y_cm,z_cm,pose_x_cm,pose_y_cm,pose_z_cm,heading_deg
1,11,296.300000,153.931000,2010.816000,29.999000,250.000000,1400.000000,29.999000,-85.700000
1,12,657.310000,-439.591000,2068.706000,29.999000,250.000000,1400.000000,29.999000,-85.700000
1,16,908.220000,-144.192000,239.905000,29.999000,250.000000,1400.000000,29.999000,-85.700000
2,1,534.030000,555.665000,624.174000,-152.650000,250.000000,1400.000000,29.999000,-85.700000
2,3,568.370000,55.053000,556.124000,-164.395000,250.000000,1400.000000,29.999000,-85.700000
2,4,878.950000,-356.730000,340.332000,29.999000,250.000000,1400.000000,29.999000,-85.700000
2,5,434.950000,378.714000,688.449000,-153.819000,250.000000,1400.000000,29.999000,-85.700000
2,6,440.360000,229.503000,672.313000,-156.105000,250.000000,1400.000000,29.999000,-85.700000
2,7,401.130000,863.216000,1405.995000,-107.196000,250.000000,1400.000000,29.999000,-85.700000
2,8,404.040000,-359.944000,1314.025000,-108.191000,250.000000,1400.000000,29.999000,-85.700000
2,9,640.350000,876.790000,2154.657000,29.999000,250.000000,1400.000000,29.999000,-85.700000
2,10,297.120000,283.504000,2021.381000,29.999000,250.000000,1400.000000,29.999000,-85.700000
2,11,294.070000,154.099000,2008.592000,29.999000,250.000000,1400.000000,29.999000,-85.700000
2,12,655.190000,-438.110000,2067.189000,29.999000,250.000000,1400.000000,29.999000,-85.700000
2,16,914.800000,-145.413000,233.440000,29.999000,250.000000,1400.000000,29.999000,-85.700000
3,1,534.030000,555.665000,624.174000,-152.650000,250.000000,1400.000000,29.999000,-85.700000
3,3,568.370000,55.053000,556.124000,-164.395000,250.000000,1400.000000,29.999000,-85.700000
3,4,878.950000,-356.730000,340.332000,29.999000,250.000000,1400.000000,29.999000,-85.700000
3,5,434.950000,378.714000,688.449000,-153.819000,250.000000,1400.000000,29.999000,-85.700000
3,6,440.360000,229.503000,672.313000,-156.105000,250.000000,1400.000000,29.999000,-85.700000
3,7,401.130000,863.216000,1405.995000,-107.196000,250.000000,1400.000000,29.999000,-85.700000
3,8,404.040000,-359.944000,1314.025000,-108.191000,250.000000,1400.000000,29.999000,-85.700000
3,9,640.350000,876.790000,2154.657000,29.999000,250.000000,1400.000000,29.999000,-85.700000
3,10,297.120000,283.504000,2021.381000,29.999000,250.000000,1400.000000,29.999000,-85.700000
3,11,294.070000,154.099000,2008.592000,29.999000,250.000000,1400.000000,29.999000,-85.700000
3,12,655.190000,-438.110000,2067.189000,29.999000,250.000000,1400.000000,29.999000,-85.700000
3,16,914.800000,-145.413000,233.440000,29.999000,250.000000,1400.000000,29.999000,-85.700000
4,1,534.030000,555.665000,624.174000,-152.650000,250.000000,1400.000000,29.999000,-85.700000
